Last_Day_of_Week,Xerox,Print_BW,Print_Colour,Colour_Xerox,Files,Binding
2024-01-06,6173,3265,256,113,,
2024-01-13,4944,1242,411,442,,
2024-01-20,4342,2987,227,346,,
2024-01-27,3554,2362,432,463,,
2024-02-03,4950,2326,266,429,,
2024-02-10,2114,941,319,485,,
2024-02-17,2392,2598,492,237,,
2024-02-24,4478,3274,277,269,,
2024-03-02,2112,2252,256,126,,
2024-03-09,6555,688,192,387,,
2024-03-16,1395,2913,124,449,,
2024-03-23,3167,3963,290,476,,
2024-03-30,5559,2392,130,196,,
2024-04-06,5523,2566,346,285,,
2024-04-13,2922,1067,240,406,,
2024-04-20,5726,1445,271,161,,
2024-04-27,3255,2765,333,330,,
