Last_Day_of_Week,Xerox,Print_BW,Files,Binding
2017-01-07,29084,10578,0,
2017-01-14,17134,15785,0,
2017-01-21,16283,21509,0,
2017-01-28,10999,17260,0,
2017-02-04,27760,13861,0,
2017-02-11,19788,19228,0,
2017-02-18,36742,11072,0,
2017-02-25,17134,16285,0,
2017-03-04,28240,9224,0,
2017-03-11,24393,13670,0,
2017-03-18,13650,18130,0,
2017-03-25,31683,10650,0,
2017-04-01,40791,8327,0,
2017-04-08,38640,7035,0,
2017-04-15,11755,8155,0,
2017-04-22,20768,10162,0,
2017-04-29,32445,10607,0,
2017-05-06,11515,16489,0,
2017-05-13,24146,12302,0,
2017-05-20,21166,7825,0,
2017-05-27,34173,12116,0,
2017-06-03,14054,21437,0,
2017-06-10,40492,5845,0,
2017-06-17,24699,8278,0,
2017-06-24,20962,7779,0,
2017-07-01,24990,14793,0,
2017-07-08,17936,16316,105,50
2017-07-15,20235,7172,200,70
2017-07-22,23247,10417,0,
2017-07-29,29554,5721,0,
2017-08-05,44639,6482,0,
2017-08-12,13184,15317,50,
2017-08-19,18176,15939,250,
2017-08-26,21906,9887,0,
2017-09-02,28132,15564,0,
2017-09-09,35286,8448,0,
2017-09-16,14893,17135,0,
2017-09-23,13947,21423,20,10
2017-09-30,12511,15120,50,40
2017-10-07,19429,16789,105,
2017-10-14,33360,8985,,
2017-10-21,22241,14814,,
2017-10-28,16255,10437,110,95
2017-11-04,19158,8781,300,250
2017-11-11,10552,23192,,
2017-11-18,22393,9086,,
2017-11-25,45374,6091,,
2017-12-02,14991,6207,,
2017-12-09,24596,5335,,
2017-12-16,22936,8816,,
2017-12-23,12267,17153,,
2017-12-30,15497,12750,,
