Last_Day_of_Week,Xerox,Print_BW,Files,Binding
2018-01-06,31925,12827,,
2018-01-13,14562,14950,,
2018-01-20,17741,11777,,
2018-01-27,40882,9081,,
2018-02-03,30034,13039,,
2018-02-10,19280,8905,,
2018-02-17,10881,17822,200,20
2018-02-24,20538,5765,250,120
2018-03-03,33487,8342,,
2018-03-10,30380,6851,,
2018-03-17,28351,11889,,
2018-03-24,17474,9158,40,10
2018-03-31,12814,14635,150,30
2018-04-07,27049,7521,200,195
2018-04-14,19305,6427,50,30
2018-04-21,20992,10898,150,60
2018-04-28,19066,9007,,
2018-05-05,25646,10231,,
2018-05-12,25821,11096,150,10
2018-05-19,37224,6198,300,250
2018-05-26,26591,13616,,
2018-06-02,27614,13528,,
2018-06-09,16379,15378,,
2018-06-16,14753,11935,20,10
2018-06-23,11814,13730,120,40
2018-06-30,10405,7839,,
2018-07-07,22363,13551,,
2018-07-14,14005,7248,,
2018-07-21,15040,19294,,
2018-07-28,27949,15065,,
2018-08-04,11553,6038,,
2018-08-11,21439,14586,,
2018-08-18,41523,6296,,
2018-08-25,17048,11977,,
2018-09-01,34975,9401,,
2018-09-08,15734,17702,,
2018-09-15,42587,6156,,
2018-09-22,40446,9002,,
2018-09-29,28016,8549,,
2018-10-06,11421,21274,40,
2018-10-13,19911,17985,145,10
2018-10-20,16590,6995,63,56
2018-10-27,22748,18233,245,125
2018-11-03,15960,8008,225,250
2018-11-10,11079,13769,,
2018-11-17,17523,13137,,
2018-11-24,14943,10902,,
2018-12-01,10312,11125,,
2018-12-08,33621,7349,,
2018-12-15,18396,14528,,
2018-12-22,12659,5813,,
2018-12-29,16696,11160,,
