Last_Day_of_Week,Xerox,Print_BW,Print_Colour,Colour_Xerox,Files,Binding
2022-01-01,2137,3523,387,172,,
2022-01-08,3131,1657,348,359,,
2022-01-15,4610,2911,213,459,,
2022-01-22,7540,2604,249,195,,
2022-01-29,3641,1450,162,358,,
2022-02-05,3876,2025,224,111,,
2022-02-12,6927,2036,348,181,,
2022-02-19,3016,2453,205,129,45,20
2022-02-26,4374,3715,127,255,130,80
2022-03-05,2111,2233,312,305,,
2022-03-12,6872,1011,292,374,,
2022-03-19,5564,3144,270,320,,
2022-03-26,4279,1450,272,397,200,85
2022-04-02,1539,3832,447,483,,
2022-04-09,3975,1811,209,390,,
2022-04-16,5202,869,263,178,,
2022-04-23,3391,1014,420,440,20,5
2022-04-30,5750,1754,143,194,85,45
2022-05-07,6848,1912,396,332,,
2022-05-14,6038,1616,177,261,,
2022-05-21,3187,2496,201,276,,
2022-05-28,3941,581,302,329,,
2022-06-04,6638,1685,264,109,,
2022-06-11,5754,3172,367,140,,
2022-06-18,7365,2841,164,121,,
2022-06-25,4852,3005,453,288,,
2022-07-02,4636,1796,323,367,,
2022-07-09,1418,3475,272,222,,
2022-07-16,6807,1243,433,366,,
2022-07-23,2869,2468,186,336,,
2022-07-30,1668,3380,400,181,,
2022-08-06,4036,3035,283,283,,
2022-08-13,3610,1650,117,339,,
2022-08-20,4394,686,194,385,,
2022-08-27,7625,662,339,457,,
2022-09-03,7975,1421,457,116,,
2022-09-10,2723,1555,348,498,,
2022-09-17,5715,2391,431,433,,
2022-09-24,7648,1804,265,304,78,35
2022-10-01,6272,3541,153,119,,
2022-10-08,7902,984,117,419,,
2022-10-15,1980,2343,332,256,,
2022-10-22,4422,2231,471,477,,
2022-10-29,3984,2444,239,418,,
2022-11-05,5736,2331,452,194,145,78
2022-11-12,4032,1350,119,329,,
2022-11-19,1124,2671,292,439,,
2022-11-26,6008,2437,289,457,,
2022-12-03,6883,581,300,295,,
2022-12-10,4585,2941,259,330,,
2022-12-17,1638,3440,344,279,,
2022-12-24,7076,790,470,396,,
2022-12-31,6008,2437,289,457,,
